hscode,commodity
9999,ALL COMMODITIES
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES."
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN."
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF."
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS."
29,ORGANIC CHEMICALS
72,IRON AND STEEL
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF."
39,PLASTIC AND ARTICLES THEREOF.
30,PHARMACEUTICAL PRODUCTS
73,ARTICLES OF IRON OR STEEL
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.
89,"SHIPS, BOATS AND FLOATING STRUCTURES."
26,"ORES, SLAG AND ASH."
99,MISCELLANEOUS GOODS.
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;"
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF."
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED."
52,COTTON.
31,FERTILISERS.
10,CEREALS.
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED."
38,MISCELLANEOUS CHEMICAL PRODUCTS.
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES."
74,COPPER AND ARTICLES THEREOF.
40,RUBBER AND ARTICLES THEREOF.
76,ALUMINIUM AND ARTICLES THEREOF.
98,PROJECT GOODS; SOME SPECIAL USES.
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT."
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES."
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.
