country,year,export,import,total,rank
227 OTHERS,2009,55255.82,127228.19,182484.01,99
227 OTHERS,2010,51692.57,130551.59,182244.16,99
227 OTHERS,2011,72250.27,158950.25,231200.52,99
227 OTHERS,2012,89786.89,224929.55,314716.44,99
227 OTHERS,2013,98796.8,226489.13,325285.93,99
227 OTHERS,2014,102637.22,202659.43,305296.65,99
227 OTHERS,2015,106170.75,197068.98,303239.73,99
227 OTHERS,2016,88125.96,151335.7,239461.66,99
227 OTHERS,2017,90177.29,153948.75,244126.04,99
227 OTHERS,2018,100201.28,194332.94,294534.22,99
SOUTH KOREA,2009,3952.18,8676.6,12628.78,20
SOUTH KOREA,2010,3420.89,8575.880000000001,11996.77,20
SOUTH KOREA,2011,3727.16,10475.06,14202.22,20
SOUTH KOREA,2012,4352.25,12811.81,17164.06,20
SOUTH KOREA,2013,4202.17,13104.949999999999,17307.12,20
SOUTH KOREA,2014,4208.52,12470.39,16678.91,20
SOUTH KOREA,2015,4602.76,13528.93,18131.69,20
SOUTH KOREA,2016,3522.5,13046.960000000001,16569.46,20
SOUTH KOREA,2017,4241.23,12585.12,16826.35,20
SOUTH KOREA,2018,4460.75,16361.59,20822.34,20
SRI LANKA DSR,2009,2425.68,356.51,2782.19,19
SRI LANKA DSR,2010,2187.76,392.17,2579.9300000000003,19
SRI LANKA DSR,2011,3507.23,501.66,4008.89,19
SRI LANKA DSR,2012,4378.58,637.31,5015.89,19
SRI LANKA DSR,2013,3983.56,625.72,4609.28,19
SRI LANKA DSR,2014,4534.07,666.85,5200.92,19
SRI LANKA DSR,2015,6703.45,756.09,7459.54,19
SRI LANKA DSR,2016,5309.2,742.76,6051.96,19
SRI LANKA DSR,2017,3912.94,602.13,4515.07,19
SRI LANKA DSR,2018,4476.06,772.58,5248.64,19
INDONESIA,2009,2559.68,6666.3,9225.98,18
INDONESIA,2010,3063.25,8656.55,11719.8,18
INDONESIA,2011,5700.58,9918.51,15619.09,18
INDONESIA,2012,6677.78,14765.849999999999,21443.63,18
INDONESIA,2013,5331.09,14879.37,20210.46,18
INDONESIA,2014,4850.05,14748.2,19598.25,18
INDONESIA,2015,4043.09,15004.54,19047.63,18
INDONESIA,2016,2819.32,13131.79,15951.109999999999,18
INDONESIA,2017,3487.98,13427.89,16915.87,18
INDONESIA,2018,3963.6,16438.69,20402.29,18
MALAYSIA,2009,3419.7400000000002,7184.61,10604.35,17
MALAYSIA,2010,2835.2000000000003,5176.65,8011.8499999999995,17
MALAYSIA,2011,3871.01,6523.42,10394.43,17
MALAYSIA,2012,3980.11,9473.47,13453.58,17
MALAYSIA,2013,4443.86,9950.95,14394.81,17
MALAYSIA,2014,4197.71,9229.75,13427.460000000001,17
MALAYSIA,2015,5816.35,11117.59,16933.94,17
MALAYSIA,2016,3706.62,9083.67,12790.29,17
MALAYSIA,2017,5224.63,8933.44,14158.07,17
MALAYSIA,2018,5699.860000000001,9011.460000000001,14711.32,17
VIETNAM SOC REP,2009,1738.55,408.62,2147.17,16
VIETNAM SOC REP,2010,1838.91,521.71,2360.62,16
VIETNAM SOC REP,2011,2651.3,1064.8400000000001,3716.14,16
VIETNAM SOC REP,2012,3718.97,1722.79,5441.76,16
VIETNAM SOC REP,2013,3967.25,2314.67,6281.92,16
VIETNAM SOC REP,2014,5441.8,2594.16,8035.96,16
VIETNAM SOC REP,2015,6257.68,3003.28,9260.960000000001,16
VIETNAM SOC REP,2016,5266.01,2560.2999999999997,7826.31,16
VIETNAM SOC REP,2017,6786.39,3320.5,10106.89,16
VIETNAM SOC REP,2018,7812.93,5018.42,12831.35,16
ITALY,2009,3824.37,4427.98,8252.35,15
ITALY,2010,3400.05,3861.79,7261.84,15
ITALY,2011,4551.35,4255.73,8807.08,15
ITALY,2012,4882.88,5121.45,10004.33,15
ITALY,2013,4372.25,4711.04,9083.289999999999,15
ITALY,2014,5272.59,4156.34,9428.93,15
