commodity,year,export,import,total,rank
88 OTHERS,2009,59554.93,25422.74,84977.67,99
88 OTHERS,2010,59531.62,27334.74,86866.36,99
88 OTHERS,2011,76299.33,32315.71,108615.04,99
88 OTHERS,2012,97766.7,41904.35,139671.05,99
88 OTHERS,2013,104065,43700.88,147765.88,99
88 OTHERS,2014,114532.37,42404.44,156936.81,99
88 OTHERS,2015,116598.09,48936.23,165534.32,99
88 OTHERS,2016,107962.71,49288.6,157251.31,99
88 OTHERS,2017,109904.52,51006.35,160910.87,99
88 OTHERS,2018,119317.9,57689.11,177007.01,99
RUBBER AND ARTICLES THEREOF.,2009,1548.18,1636.43,3184.61,20
RUBBER AND ARTICLES THEREOF.,2010,1349.1,1824.81,3173.91,20
RUBBER AND ARTICLES THEREOF.,2011,1888.87,2919.47,4808.34,20
RUBBER AND ARTICLES THEREOF.,2012,2643.68,3860.18,6503.86,20
RUBBER AND ARTICLES THEREOF.,2013,2773.36,3634.51,6407.87,20
RUBBER AND ARTICLES THEREOF.,2014,2678.75,3430.02,6108.77,20
RUBBER AND ARTICLES THEREOF.,2015,2725.88,3253.4,5979.28,20
RUBBER AND ARTICLES THEREOF.,2016,2367.84,2915.81,5283.65,20
RUBBER AND ARTICLES THEREOF.,2017,2492.83,2907.82,5400.65,20
RUBBER AND ARTICLES THEREOF.,2018,2961.34,3468.15,6429.49,20
MISCELLANEOUS CHEMICAL PRODUCTS.,2009,1882.23,2352.07,4234.3,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2010,1820.67,2444.25,4264.92,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2011,2069.91,3057.8,5127.71,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2012,2591.75,3745.25,6337,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2013,2855.4900000000002,3792.6,6648.09,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2014,3088.33,3827.07,6915.4,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2015,3177.02,4177.4,7354.42,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2016,3060.95,4160.29,7221.24,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2017,3248.83,4569.8099999999995,7818.639999999999,19
MISCELLANEOUS CHEMICAL PRODUCTS.,2018,3890.6,5511.32,9401.92,19
ARTICLES OF IRON OR STEEL,2009,5782.27,3667,9449.27,18
ARTICLES OF IRON OR STEEL,2010,4080.94,2792.37,6873.3099999999995,18
ARTICLES OF IRON OR STEEL,2011,6584.88,3616.55,10201.43,18
ARTICLES OF IRON OR STEEL,2012,7047.7699999999995,4528.85,11576.62,18
ARTICLES OF IRON OR STEEL,2013,7435.8,4100.77,11536.57,18
ARTICLES OF IRON OR STEEL,2014,6806.95,3595.65,10402.6,18
ARTICLES OF IRON OR STEEL,2015,7591.47,3978.54,11570.01,18
ARTICLES OF IRON OR STEEL,2016,6155.5599999999995,3743.39,9898.95,18
ARTICLES OF IRON OR STEEL,2017,5915.55,3466.19,9381.74,18
ARTICLES OF IRON OR STEEL,2018,6793.52,4205.15,10998.67,18
PROJECT GOODS; SOME SPECIAL USES.,2009,151.78,3203.8,3355.58,17
PROJECT GOODS; SOME SPECIAL USES.,2010,110.55,4762.62,4873.17,17
PROJECT GOODS; SOME SPECIAL USES.,2011,95.6,6175.43,6271.03,17
PROJECT GOODS; SOME SPECIAL USES.,2012,109.5,8776.19,8885.69,17
PROJECT GOODS; SOME SPECIAL USES.,2013,172.85999999999999,6564.01,6736.870000000001,17
PROJECT GOODS; SOME SPECIAL USES.,2014,95.65,4563.34,4658.99,17
PROJECT GOODS; SOME SPECIAL USES.,2015,66.03999999999999,3640.59,3706.63,17
PROJECT GOODS; SOME SPECIAL USES.,2016,71.35,2790.38,2861.73,17
PROJECT GOODS; SOME SPECIAL USES.,2017,64.89,2085.01,2149.9,17
PROJECT GOODS; SOME SPECIAL USES.,2018,44.57,2095.39,2139.96,17
MISCELLANEOUS GOODS.,2009,4776.28,1543.13,6319.41,16
MISCELLANEOUS GOODS.,2010,5204.95,1468.66,6673.61,16
MISCELLANEOUS GOODS.,2011,11823.75,2771.5299999999997,14595.279999999999,16
MISCELLANEOUS GOODS.,2012,11818.970000000001,4019.54,15838.51,16
MISCELLANEOUS GOODS.,2013,4438.18,4655.67,9093.85,16
MISCELLANEOUS GOODS.,2014,3688.1600000000003,8070.49,11758.65,16
MISCELLANEOUS GOODS.,2015,958.74,7471.61,8430.35,16
MISCELLANEOUS GOODS.,2016,1950.03,7664.79,9614.82,16
MISCELLANEOUS GOODS.,2017,388.78,7070.39,7459.17,16
MISCELLANEOUS GOODS.,2018,119.11999999999999,15.28,134.39999999999998,16
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2009,6001.86,3016.0499999999997,9017.91,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2010,6169.22,3100.76,9269.98,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2011,9315.6,4177.28,13492.88,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2012,10931.08,5163.75,16094.83,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2013,12193.08,4932.31,17125.39,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2014,12932.75,4475.6,17408.35,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2015,14473.64,4861.5599999999995,19335.2,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2016,14355.6,4988.83,19344.43,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2017,14949.79,4719.15,19668.94,15
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2018,17254.7,5844.85,23099.55,15
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2009,1143.52,4726.72,5870.24,14
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2010,963.01,3430.29,4393.3,14
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2011,1846.75,3782.2000000000003,5628.95,14
