country,year,export,import,total,rank
227 OTHERS,2009,77901.44,77302,155203.44,99
227 OTHERS,2010,74891.37,78559.41,153450.78,99
227 OTHERS,2011,110685.28,91831.93000000001,202517.21,99
227 OTHERS,2012,133604.23,114294.54,247898.77,99
227 OTHERS,2013,133048.48,115450.09,248498.57,99
227 OTHERS,2014,143598.82,108672.69,252271.51,99
227 OTHERS,2015,141389.74,116498.38,257888.12,99
227 OTHERS,2016,117074.15,103972.43000000001,221046.58000000002,99
227 OTHERS,2017,122382.82,105181.96,227564.78,99
227 OTHERS,2018,135561.58,136076.63,271638.21,99
SINGAPORE,2009,8444.7,7654.610000000001,16099.31,20
SINGAPORE,2010,7591.99,6454.37,14046.36,20
SINGAPORE,2011,9825.25,7139.11,16964.36,20
SINGAPORE,2012,16857.45,8388.28,25245.73,20
SINGAPORE,2013,13619,7486.23,21105.23,20
SINGAPORE,2014,12510.310000000001,6762.32,19272.63,20
SINGAPORE,2015,9809.17,7124.28,16933.45,20
SINGAPORE,2016,7719.58,7308.16,15027.74,20
SINGAPORE,2017,9564.32,7086.42,16650.74,20
SINGAPORE,2018,10201.91,7466.85,17668.76,20
VENEZUELA,2009,184.49,4217.01,4401.5,19
VENEZUELA,2010,183.93,2885.7799999999997,3069.71,19
VENEZUELA,2011,175.97,5209.96,5385.929999999999,19
VENEZUELA,2012,249.63,6666.89,6916.5199999999995,19
VENEZUELA,2013,234.06,14117.66,14351.72,19
VENEZUELA,2014,196.89,13940.130000000001,14137.02,19
VENEZUELA,2015,258.01,11729.89,11987.9,19
VENEZUELA,2016,130.62,5701.8,5832.42,19
VENEZUELA,2017,62.19,5512.06,5574.25,19
VENEZUELA,2018,79.19,5866.4,5945.589999999999,19
HONG KONG,2009,6654.870000000001,6451.7,13106.57,18
HONG KONG,2010,7887.64,4734.11,12621.75,18
HONG KONG,2011,10320.099999999999,9415.22,19735.32,18
HONG KONG,2012,12931.710000000001,10408.56,23340.27,18
HONG KONG,2013,12279.01,7907.01,20186.02,18
HONG KONG,2014,12731.55,7322.05,20053.6,18
HONG KONG,2015,13599.74,5571.79,19171.53,18
HONG KONG,2016,12092.09,6051.4800000000005,18143.57,18
HONG KONG,2017,14047.130000000001,8204.01,22251.14,18
HONG KONG,2018,14690.109999999999,10675.960000000001,25366.07,18
BELGIUM,2009,4480.12,5776.64,10256.76,17
BELGIUM,2010,3759.1,6019.06,9778.16,17
BELGIUM,2011,5784.24,8609.67,14393.91,17
BELGIUM,2012,7160.570000000001,10401.26,17561.829999999998,17
BELGIUM,2013,5507.16,10046.74,15553.9,17
BELGIUM,2014,6377.17,10751.880000000001,17129.05,17
BELGIUM,2015,5519.3,10805.75,16325.050000000001,17
BELGIUM,2016,5027.47,8255.91,13283.380000000001,17
BELGIUM,2017,5656.75,6624.46,12281.210000000001,17
BELGIUM,2018,6206.71,5993.240000000001,12199.95,17
MALAYSIA,2009,3419.7400000000002,7184.61,10604.35,16
MALAYSIA,2010,2835.2000000000003,5176.65,8011.8499999999995,16
MALAYSIA,2011,3871.01,6523.42,10394.43,16
MALAYSIA,2012,3980.11,9473.47,13453.58,16
MALAYSIA,2013,4443.86,9950.95,14394.81,16
MALAYSIA,2014,4197.71,9229.75,13427.460000000001,16
MALAYSIA,2015,5816.35,11117.59,16933.94,16
MALAYSIA,2016,3706.62,9083.67,12790.29,16
MALAYSIA,2017,5224.63,8933.44,14158.07,16
MALAYSIA,2018,5699.860000000001,9011.460000000001,14711.32,16
JAPAN,2009,3025.5099999999998,7886.02,10911.53,15
JAPAN,2010,3629.35,6733.98,10363.33,15
JAPAN,2011,5090.99,8631.8,13722.79,15
JAPAN,2012,6328.32,11999.210000000001,18327.53,15
JAPAN,2013,6099.84,12412.06,18511.9,15
JAPAN,2014,6813.89,9480.51,16294.400000000001,15
JAPAN,2015,5385.39,10131.07,15516.460000000001,15
JAPAN,2016,4662.5,9849.99,14512.49,15
JAPAN,2017,3845.55,9754.45,13600,15
JAPAN,2018,4734,10973.25,15707.25,15
QATAR,2009,674.22,3498.89,4173.11,14
QATAR,2010,536.89,4648.5,5185.39,14
QATAR,2011,375.26,6819.8499999999995,7195.11,14
QATAR,2012,807.83,12916.31,13724.14,14
