commodity,year,export,import,total,rank
88 OTHERS,2009,46807,35683.57,82490.57,99
88 OTHERS,2010,44853.6,38069.53,82923.13,99
88 OTHERS,2011,58577.14,46447.4,105024.54,99
88 OTHERS,2012,73275.05,61686.69,134961.74,99
88 OTHERS,2013,75123.46,60206.020000000004,135329.48,99
88 OTHERS,2014,81787.28,56464.26,138251.54,99
88 OTHERS,2015,85952.59,62444.89,148397.48,99
88 OTHERS,2016,78851.69,61467.41,140319.1,99
88 OTHERS,2017,82356.82,60764.84,143121.66,99
88 OTHERS,2018,90854.75,70863.4,161718.15,99
CEREALS.,2009,3344.56,9.8,3354.36,20
CEREALS.,2010,2991.41,66.83,3058.2400000000002,20
CEREALS.,2011,3348.46,68.78999999999999,3417.25,20
CEREALS.,2012,6270.31,7.61,6277.92,20
CEREALS.,2013,9655.4,22.05,9677.45,20
CEREALS.,2014,10562.81,22.07,10584.88,20
CEREALS.,2015,9550.89,22.15,9573.04,20
CEREALS.,2016,6271.96,188.59,6460.55,20
CEREALS.,2017,6012.93,1343.26,7356.19,20
CEREALS.,2018,8078.86,434.12,8512.98,20
FERTILISERS.,2009,75.32,12011.19,12086.51,19
FERTILISERS.,2010,106.71000000000001,5991.53,6098.24,19
FERTILISERS.,2011,52,6181.25,6233.25,19
FERTILISERS.,2012,82.76,9220.83,9303.59,19
FERTILISERS.,2013,88.13,7413.219999999999,7501.3499999999995,19
FERTILISERS.,2014,81.64,5351.93,5433.57,19
FERTILISERS.,2015,90.21000000000001,6386.57,6476.78,19
FERTILISERS.,2016,102.44,7072.85,7175.29,19
FERTILISERS.,2017,69.33,4285.92,4355.25,19
FERTILISERS.,2018,106.33,4670.56,4776.89,19
COTTON.,2009,3148.45,636.13,3784.58,18
COTTON.,2010,4611.92,499.06,5110.9800000000005,18
COTTON.,2011,6925.86,415.84,7341.7,18
COTTON.,2012,8921.72,511.05,9432.77,18
COTTON.,2013,8936.68,788.98,9725.66,18
COTTON.,2014,9926.09,714.98,10641.07,18
COTTON.,2015,7717.63,739.63,8457.26,18
COTTON.,2016,7312.84,599.36,7912.2,18
