country,year,export,import,total,rank
227 OTHERS,2009,67605.32,77733.34,145338.66,99
227 OTHERS,2010,65274.99,80693.12,145968.11000000002,99
227 OTHERS,2011,89561.68,94147.89,183709.57,99
227 OTHERS,2012,109635.35,125704.48,235339.83,99
227 OTHERS,2013,119919.93000000001,137043.06,256962.99,99
227 OTHERS,2014,123441.36,128178.93,251620.29,99
227 OTHERS,2015,129221.85,130252.20999999999,259474.06,99
227 OTHERS,2016,106816.75,104794.48,211611.23,99
227 OTHERS,2017,112229.58,107331.94,219561.52,99
227 OTHERS,2018,124990.57,136241.65,261232.22,99
UNSPECIFIED,2009,4505.59,1412.5,5918.09,20
UNSPECIFIED,2010,4116.12,939.11,5055.23,20
UNSPECIFIED,2011,14390.17,4317.31,18707.48,20
UNSPECIFIED,2012,16436.7,1039.18,17475.88,20
UNSPECIFIED,2013,5437.45,1924.85,7362.3,20
UNSPECIFIED,2014,11544.48,4097,15641.480000000001,20
UNSPECIFIED,2015,4161.22,7562.759999999999,11723.98,20
UNSPECIFIED,2016,2461.4,8709.57,11170.97,20
UNSPECIFIED,2017,2470.11,7343.57,9813.68,20
UNSPECIFIED,2018,2431.2700000000004,9303.49,11734.760000000002,20
KUWAIT,2009,797.33,9593.74,10391.070000000002,19
KUWAIT,2010,782.31,8249.48,9031.79,19
KUWAIT,2011,1855.84,10313.630000000001,12169.47,19
KUWAIT,2012,1181.25,16439.66,17620.91,19
KUWAIT,2013,1060.88,16588.129999999997,17649.01,19
KUWAIT,2014,1060.96,17153.53,18214.49,19
KUWAIT,2015,1198.67,13381.96,14580.63,19
KUWAIT,2016,1247.32,4969.68,6217,19
KUWAIT,2017,1497.8600000000001,4462.2699999999995,5960.13,19
KUWAIT,2018,1365.43,7165.69,8531.12,19
MALAYSIA,2009,3419.7400000000002,7184.61,10604.35,18
MALAYSIA,2010,2835.2000000000003,5176.65,8011.8499999999995,18
MALAYSIA,2011,3871.01,6523.42,10394.43,18
MALAYSIA,2012,3980.11,9473.47,13453.58,18
MALAYSIA,2013,4443.86,9950.95,14394.81,18
MALAYSIA,2014,4197.71,9229.75,13427.460000000001,18
MALAYSIA,2015,5816.35,11117.59,16933.94,18
MALAYSIA,2016,3706.62,9083.67,12790.29,18
MALAYSIA,2017,5224.63,8933.44,14158.07,18
MALAYSIA,2018,5699.860000000001,9011.460000000001,14711.32,18
NIGERIA,2009,1529.08,8900.349999999999,10429.429999999998,17
NIGERIA,2010,1408.47,7287.89,8696.359999999999,17
NIGERIA,2011,2098.79,10787.7,12886.49,17
NIGERIA,2012,2701.81,14757.74,17459.55,17
NIGERIA,2013,2739.87,12086.1,14825.97,17
NIGERIA,2014,2667.56,14097.82,16765.38,17
NIGERIA,2015,2681.11,13682.960000000001,16364.070000000002,17
NIGERIA,2016,2221.67,9949.13,12170.8,17
NIGERIA,2017,1763.94,7659.450000000001,9423.390000000001,17
NIGERIA,2018,2254.7,9501.36,11756.060000000001,17
IRAN,2009,2533.91,12376.74,14910.65,16
IRAN,2010,1853.06,11540.800000000001,13393.86,16
IRAN,2011,2492.79,10928.14,13420.93,16
IRAN,2012,2411.16,13790.130000000001,16201.29,16
IRAN,2013,3350.97,11594.42,14945.39,16
IRAN,2014,4971.15,10307.140000000001,15278.29,16
IRAN,2015,4174.9,8954.99,13129.89,16
IRAN,2016,2781.4,6278.71,9060.11,16
IRAN,2017,2379.44,10506.490000000002,12885.93,16
IRAN,2018,2652.26,11111.54,13763.800000000001,16
UNITED KINGDOM,2009,6649.24,5872.06,12521.300000000001,15
UNITED KINGDOM,2010,6221.08,4461.46,10682.539999999999,15
UNITED KINGDOM,2011,7284.66,5396.54,12681.199999999999,15
UNITED KINGDOM,2012,8589.64,7134.08,15723.72,15
UNITED KINGDOM,2013,8612.22,6292.86,14905.08,15
UNITED KINGDOM,2014,9778.78,6044.84,15823.62,15
UNITED KINGDOM,2015,9319.48,5018.02,14337.5,15
UNITED KINGDOM,2016,8828.47,5192.3,14020.77,15
UNITED KINGDOM,2017,8529.76,3664.67,12194.43,15
UNITED KINGDOM,2018,9690.63,4806.95,14497.58,15
BELGIUM,2009,4480.12,5776.64,10256.76,14
BELGIUM,2010,3759.1,6019.06,9778.16,14
BELGIUM,2011,5784.24,8609.67,14393.91,14
BELGIUM,2012,7160.570000000001,10401.26,17561.829999999998,14
BELGIUM,2013,5507.16,10046.74,15553.9,14
BELGIUM,2014,6377.17,10751.880000000001,17129.05,14
BELGIUM,2015,5519.3,10805.75,16325.050000000001,14
BELGIUM,2016,5027.47,8255.91,13283.380000000001,14
BELGIUM,2017,5656.75,6624.46,12281.210000000001,14
BELGIUM,2018,6206.71,5993.240000000001,12199.95,14
AUSTRALIA,2009,1439.1,11097.95,12537.050000000001,13
AUSTRALIA,2010,1384.74,12407.25,13791.99,13
AUSTRALIA,2011,1712.8,10788.939999999999,12501.74,13
AUSTRALIA,2012,2476.6,15578.41,18055.01,13
