country_name,export,import,total,trade_balance,country_code
AFGHANISTAN,4902.53,2194.7,7097.23,0.38,AFG
ALBANIA,180.06,484.82,664.88,-0.46,ALB
ALGERIA,8519.18,10237.26,18756.44,-0.09,DZA
AMERI SAMOA,3.58,5.27,8.85,-0.19,
ANDORRA,7.03,5.5,12.53,0.12,
ANGOLA,4324.96,44820.81,49145.77,-0.82,AGO
ANTARTICA,0.66,7.52,8.18,-0.84,ATA
ANTIGUA,18.48,16.55,35.03,0.06,
ARGENTINA,4866.62,15030.21,19896.83,-0.51,ARG
ARMENIA,387.15,38.63,425.78,0.82,ARM
AUSTRALIA,24676.01,117074.38,141750.39,-0.65,AUS
AUSTRIA,3889.27,8670.82,12560.09,-0.38,AUT
AZERBAIJAN,602.49,4346.06,4948.55,-0.76,AZE
BAHAMAS,8349.83,1022.36,9372.19,0.78,BHS
BAHARAIN IS,5025.64,6245.49,11271.13,-0.11,
BANGLADESH PR,51039.99,5459.44,56499.43,0.81,BGD
BELARUS,512.31,2191.92,2704.23,-0.62,BLR
BELGIUM,55478.59,83284.61,138763.2,-0.2,BEL
BELIZE,159.36,5.64,165,0.93,BLZ
BENIN,4440.03,1992.69,6432.72,0.38,BEN
BERMUDA,19.95,64.38,84.33,-0.53,
BHUTAN,3077.88,2137.37,5215.25,0.18,BTN
BOLIVIA,500.26,1115.91,1616.17,-0.38,BOL
BOSNIA-HRZGOVIN,101.43,81.52,182.95,0.11,BIH
BOTSWANA,519.65,5047.66,5567.31,-0.81,BWA
BRAZIL,40537.16,40044.18,80581.34,0.01,BRA
BRUNEI,1209.13,5701.3,6910.43,-0.65,BRN
BULGARIA,1452.37,957.5,2409.87,0.21,BGR
BURKINA FASO,889.34,1376.67,2266.01,-0.22,BFA
BURUNDI,264.71,21.22,285.93,0.85,BDI
CENTRAL AFRICAN REPUBLIC,90.5,21.29,111.79,0.62,CAF
CAMBODIA,1023.89,211.85,1235.74,0.66,KHM
CAMEROON,1780.11,3415.91,5196.02,-0.31,CMR
CANADA,18685.76,32295.55,50981.31,-0.27,CAN
CHAD,303.39,923.15,1226.54,-0.51,TCD
CHILE,5736.37,20166.56,25902.93,-0.56,CHL
CHINA,126026.56,525066.89,651093.45,-0.61,CHN
COLOMBIA,7848.61,13310.54,21159.15,-0.26,COL
CONGO D. REP.,1363.05,855.3,2218.35,0.23,COD
CONGO P REP,2075.78,3300.04,5375.82,-0.23,COG
COSTA RICA,871.81,1233.39,2105.2,-0.17,CRI
COTE D' IVOIRE,2925.33,4021.64,6946.97,-0.16,
CROATIA,1241.79,244.12,1485.91,0.67,HRV
CUBA,368.51,20.05,388.56,0.9,CUB
CYPRUS,795.32,412.85,1208.17,0.32,CYP
CZECH REPUBLIC,3291.99,5845.97,9137.96,-0.28,CZE
DENMARK,6970.3,5075.42,12045.72,0.16,DNK
DJIBOUTI,3238.64,29.73,3268.37,0.98,DJI
DOMINIC REPUBLIC,1264.96,2155.15,3420.11,-0.26,DOM
ECUADOR,1977.26,3620.03,5597.29,-0.29,ECU
EGYPT,22788.85,18532.5,41321.35,0.1,EGY
EL SALVADOR,472.38,72.73,545.11,0.73,SLV
EQUTL GUINEA,135.55,4062.27,4197.82,-0.94,GNQ
ERITREA,168.6,463.27,631.87,-0.47,ERI
ESTONIA,727.92,1083.35,1811.27,-0.2,EST
ETHIOPIA,5837.93,378.3,6216.23,0.88,ETH
FALKLAND IS,1.54,13.49,15.03,-0.8,FLK
FIJI IS,471.83,14.14,485.97,0.94,FJI
FINLAND,2905.27,12479.87,15385.14,-0.62,FIN
FR S ANT TR,0.09,0.09,0.18,0,ATF
FRANCE,46440.98,45582.5,92023.48,0.01,FRA
GABON,405.65,3859.01,4264.66,-0.81,GAB
GAMBIA,629.37,341.04,970.41,0.3,GMB
GEORGIA,875.28,306.23,1181.51,0.48,GEO
GERMANY,71754.2,126827.5,198581.7,-0.28,DEU
GHANA,6503.81,10356,16859.81,-0.23,GHA
GIBRALTAR,4595.31,11.86,4607.17,0.99,GRC
GREECE,4631.99,1105.68,5737.67,0.61,GRL
GREENLAND,12.97,0.56,13.53,0.92,GRL
GUATEMALA,1926.98,144.3,2071.28,0.86,GTM
GUINEA,2090.43,3590.18,5680.61,-0.26,GIN
GUINEA BISSAU,138.95,1660.46,1799.41,-0.85,GNB
GUYANA,203.99,98.92,302.91,0.35,GUY
HAITI,622.07,25.32,647.39,0.92,HTI
HONDURAS,1111.55,156.22,1267.77,0.75,HND
HONG KONG,117233.95,76741.89,193975.84,0.21,HKG
HUNGARY,3408.35,2620.29,6028.64,0.13,HUN
ICELAND,254.74,52.6,307.34,0.66,ISL
